n,topo_dir,kp_class,density,seed,n_nodes,n_arcs,topology,n_macroitems,algorithm_ms
1000,inforest,strongly_corr,sparse,2,1000,330,inforest,632,0.586000
1000,inforest,strongly_corr,sparse,3,1000,290,inforest,607,0.554000
1000,inforest,strongly_corr,sparse,4,1000,289,inforest,617,0.528000
1000,inforest,strongly_corr,sparse,5,1000,319,inforest,619,0.361000
1000,inforest,strongly_corr,sparse,6,1000,306,inforest,614,0.578000
1000,inforest,strongly_corr,sparse,7,1000,281,inforest,609,0.350000
1000,inforest,strongly_corr,sparse,8,1000,319,inforest,613,0.379000
1000,inforest,strongly_corr,sparse,9,1000,303,inforest,610,0.461000
1000,inforest,strongly_corr,sparse,10,1000,305,inforest,615,0.553000
1000,inforest,strongly_corr,tree,1,1000,999,inforest,404,5.944000
1000,inforest,strongly_corr,tree,2,1000,999,inforest,421,6.406000
1000,inforest,strongly_corr,tree,3,1000,999,inforest,397,4.085000
1000,inforest,strongly_corr,tree,4,1000,999,inforest,406,4.383000
1000,inforest,strongly_corr,tree,5,1000,999,inforest,427,7.442000
1000,inforest,strongly_corr,tree,6,1000,999,inforest,411,5.149000
1000,inforest,strongly_corr,tree,7,1000,999,inforest,421,7.814000
1000,inforest,strongly_corr,tree,8,1000,999,inforest,411,3.631000
1000,inforest,strongly_corr,tree,9,1000,999,inforest,398,8.015000
1000,inforest,strongly_corr,tree,10,1000,999,inforest,428,4.964000
1000,inforest,uncorr,dense,1,1000,910,inforest,558,2.544000
1000,inforest,uncorr,dense,2,1000,890,inforest,556,2.723000
1000,inforest,uncorr,dense,3,1000,896,inforest,565,4.345000
1000,inforest,uncorr,dense,4,1000,906,inforest,548,4.145000
1000,inforest,uncorr,dense,5,1000,904,inforest,536,3.371000
1000,inforest,uncorr,dense,6,1000,905,inforest,530,2.405000
1000,inforest,uncorr,dense,7,1000,888,inforest,572,2.847000
1000,inforest,uncorr,dense,8,1000,898,inforest,533,3.140000
1000,inforest,uncorr,dense,9,1000,908,inforest,529,3.165000
1000,inforest,uncorr,dense,10,1000,895,inforest,558,4.856000
1000,inforest,uncorr,medium,1,1000,591,inforest,718,1.094000
1000,inforest,uncorr,medium,2,1000,601,inforest,699,0.630000
1000,inforest,uncorr,medium,3,1000,617,inforest,688,0.698000
1000,inforest,uncorr,medium,4,1000,626,inforest,692,0.821000
1000,inforest,uncorr,medium,5,1000,587,inforest,729,0.703000
1000,inforest,uncorr,medium,6,1000,611,inforest,696,0.823000
1000,inforest,uncorr,medium,7,1000,564,inforest,721,1.018000
1000,inforest,uncorr,medium,8,1000,598,inforest,695,1.092000
1000,inforest,uncorr,medium,9,1000,592,inforest,709,1.180000
1000,inforest,uncorr,medium,10,1000,600,inforest,711,0.934000
1000,inforest,uncorr,sparse,1,1000,296,inforest,847,0.506000
1000,inforest,uncorr,sparse,2,1000,312,inforest,824,0.361000
1000,inforest,uncorr,sparse,3,1000,295,inforest,853,0.538000
1000,inforest,uncorr,sparse,4,1000,286,inforest,849,0.342000
1000,inforest,uncorr,sparse,5,1000,280,inforest,849,0.340000
1000,inforest,uncorr,sparse,6,1000,292,inforest,844,0.366000
1000,inforest,uncorr,sparse,7,1000,301,inforest,845,0.416000
1000,inforest,uncorr,sparse,8,1000,303,inforest,861,0.372000
1000,inforest,uncorr,sparse,9,1000,284,inforest,842,0.344000
1000,inforest,uncorr,sparse,10,1000,305,inforest,842,0.408000
1000,inforest,uncorr,tree,1,1000,999,inforest,511,4.987000
1000,inforest,uncorr,tree,2,1000,999,inforest,491,3.548000
1000,inforest,uncorr,tree,3,1000,999,inforest,486,6.695000
1000,inforest,uncorr,tree,4,1000,999,inforest,523,4.924000
1000,inforest,uncorr,tree,5,1000,999,inforest,499,5.199000
1000,inforest,uncorr,tree,6,1000,999,inforest,532,4.390000
1000,inforest,uncorr,tree,7,1000,999,inforest,483,4.795000
1000,inforest,uncorr,tree,8,1000,999,inforest,498,4.870000
1000,inforest,uncorr,tree,9,1000,999,inforest,518,4.740000
1000,inforest,uncorr,tree,10,1000,999,inforest,479,7.105000
1000,inforest,weakly_corr,dense,1,1000,898,inforest,549,3.231000
1000,inforest,weakly_corr,dense,2,1000,897,inforest,543,4.234000
1000,inforest,weakly_corr,dense,3,1000,901,inforest,534,2.598000
1000,inforest,weakly_corr,dense,4,1000,881,inforest,564,2.235000
1000,inforest,weakly_corr,dense,5,1000,909,inforest,557,4.038000
1000,inforest,weakly_corr,dense,6,1000,909,inforest,566,2.245000
1000,inforest,weakly_corr,dense,7,1000,898,inforest,535,2.295000
